Season,League,Rank,Name,Points_won,Votes_first,Share
2008,AL,1,Cliff Lee,132.0,24.0,94
2008,AL,2,Roy Halladay,71.0,4.0,51
2008,AL,3,Francisco Rodriguez,32.0,0.0,23
2008,AL,4,Daisuke Matsuzaka,10.0,0.0,7
2008,AL,5,Mariano Rivera,3.0,0.0,2
2008,AL,6,Mike Mussina,2.0,0.0,1
2008,AL,6,Ervin Santana,2.0,0.0,1
2008,NL,1,Tim Lincecum,137.0,23.0,86
2008,NL,2,Brandon Webb,73.0,4.0,46
2008,NL,3,Johan Santana,55.0,4.0,34
2008,NL,4,Brad Lidge,10.0,0.0,6
2008,NL,5,CC Sabathia,9.0,1.0,6
2008,NL,6,Ryan Dempster,4.0,0.0,3
2009,AL,1,Zack Greinke,134.0,25.0,96
2009,AL,2,Felix Hernandez,80.0,2.0,57
2009,AL,3,Justin Verlander,14.0,1.0,10
2009,AL,4,CC Sabathia,13.0,0.0,9
2009,AL,5,Roy Halladay,11.0,0.0,8
2009,NL,1,Tim Lincecum,100.0,11.0,63
2009,NL,2,Chris Carpenter,94.0,9.0,59
2009,NL,3,Adam Wainwright,90.0,12.0,56
2009,NL,4,Javier Vazquez,3.0,0.0,2
2009,NL,5,Dan Haren,1.0,0.0,1
2010,AL,1,Felix Hernandez,167.0,21.0,85
2010,AL,2,David Price,111.0,4.0,57
2010,AL,3,CC Sabathia,102.0,3.0,52
2010,AL,4,Jon Lester,33.0,0.0,17
2010,AL,5,Jered Weaver,24.0,0.0,12
2010,AL,6,Clay Buchholz,20.0,0.0,10
2010,AL,7,Cliff Lee,6.0,0.0,3
2010,AL,8,Rafael Soriano,5.0,0.0,3
2010,AL,9,Trevor Cahill,4.0,0.0,2
2010,AL,10,Joakim Soria,2.0,0.0,1
2010,AL,11,Francisco Liriano,1.0,0.0,1
2010,AL,11,Justin Verlander,1.0,0.0,1
2010,NL,1,Roy Halladay,224.0,32.0,100
2010,NL,2,Adam Wainwright,122.0,0.0,54
2010,NL,3,Ubaldo Jimenez,90.0,0.0,40
2010,NL,4,Tim Hudson,39.0,0.0,17
2010,NL,5,Josh Johnson,34.0,0.0,15
2010,NL,6,Roy Oswalt,14.0,0.0,6
2010,NL,7,Brian Wilson,7.0,0.0,3
2010,NL,8,Heath Bell,4.0,0.0,2
2010,NL,8,Mat Latos,4.0,0.0,2
2010,NL,10,Tim Lincecum,2.0,0.0,1
2010,NL,10,Brett Myers,2.0,0.0,1
2010,NL,12,Bronson Arroyo,1.0,0.0,0
2010,NL,12,Matt Cain,1.0,0.0,0
2011,AL,1,Justin Verlander,196.0,28.0,100
2011,AL,2,Jered Weaver,97.0,0.0,49
2011,AL,3,James Shields,66.0,0.0,34
2011,AL,4,CC Sabathia,63.0,0.0,32
2011,AL,5,Jose Valverde,28.0,0.0,14
2011,AL,6,C.J. Wilson,9.0,0.0,5
2011,AL,7,Dan Haren,7.0,0.0,4
2011,AL,8,Mariano Rivera,4.0,0.0,2
2011,AL,9,Josh Beckett,3.0,0.0,2
2011,AL,10,Ricky Romero,2.0,0.0,1
2011,AL,11,David Robertson,1.0,0.0,1
2011,NL,1,Clayton Kershaw,207.0,27.0,92
2011,NL,2,Roy Halladay,133.0,4.0,59
2011,NL,3,Cliff Lee,90.0,0.0,40
2011,NL,4,Ian Kennedy,76.0,1.0,34
2011,NL,5,Cole Hamels,17.0,0.0,8
2011,NL,6,Tim Lincecum,7.0,0.0,3
2011,NL,7,Yovani Gallardo,5.0,0.0,2
